"id","name","code","account_type","chart_template_id/id","tag_ids/id","reconcile"
"l10n_bd_1112","Petty Cash",1112,"asset_cash","l10n_bd.bd_chart_template",,"False"
"l10n_bd_1114","Temporary Investments",1114,"asset_cash","l10n_bd.bd_chart_template",,"False"
"l10n_bd_1121","Commercial Accounts Receivable",1121,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_11211","Commercial Accounts Receivable - PoS",11211,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_1122","Other Accounts Receivable",1122,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_1123","Accounts Receivable from Related Companies",1123,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_1124","Advances to Suppliers",1124,"asset_prepayments","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1125","Provision for Bad Accounts",1125,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_1131","Inventory - Finished Products",1131,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1132","Inventory - Work in Process",1132,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1133","Inventory - Raw Materials",1133,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_11341","Stock Interim (Received)",11341,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_11342","Stock Interim (Delivered)",11342,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1135","Inventory - Provision for Obsolescence",1135,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1141","IVA Tax Credit",1141,"asset_prepayments","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1142","Taxes to Recover",1142,"asset_prepayments","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1143","Advance Payments",1143,"asset_current","l10n_bd.bd_chart_template","account.account_tag_operating","False"
"l10n_bd_1144","Other Current Assets",1144,"asset_current","l10n_bd.bd_chart_template","account.account_tag_investing","False"
"l10n_bd_1211","Commercial Accounts Receivable - Long Term",1211,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_1212","Other Accounts Receivable - Long Term",1212,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
"l10n_bd_1213","Long-Term Accounts Receivable from Related and/or Linked Companies",1213,"asset_receivable","l10n_bd.bd_chart_template","account.account_tag_operating","True"
