id,name,country_id:id,code
__export__.state_bd_bagerhat,Bagerhat,base.bd,Bagerhat
__export__.state_bd_bandarban,Bandarban,base.bd,Bandarban
__export__.state_bd_barguna,Barguna,base.bd,Barguna
__export__.state_bd_barisal,Barishal,base.bd,Barishal
__export__.state_bd_bhola,Bhola,base.bd,Bhola
__export__.state_bd_bogra,Bogra,base.bd,Bogra
__export__.state_bd_brahmanbaria,Brahmanbaria,base.bd,Brahmanbaria
__export__.state_bd_chandpur,Chandpur,base.bd,Chandpur
__export__.state_bd_nawabganj,Chapainawabganj,base.bd,Chapainawabganj
__export__.state_bd_chittagong,Chattogram,base.bd,Chattogram
__export__.state_bd_chuadanga,Chuadanga,base.bd,Chuadanga
__export__.state_bd_comilla,Cumilla,base.bd,Comilla
__export__.state_bd_coxs_bazar,Cox's Bazar,base.bd,Cox's Bazar
__export__.state_bd_dhaka,Dhaka,base.bd,Dhaka
__export__.state_bd_dinajpur,Dinajpur,base.bd,Dinajpur
__export__.state_bd_faridpur,Faridpur,base.bd,Faridpur
__export__.state_bd_feni,Feni,base.bd,Feni
__export__.state_bd_gaibandha,Gaibandha,base.bd,Gaibandha
__export__.state_bd_gazipur,Gazipur,base.bd,Gazipur
__export__.state_bd_gopalganj,Gopalganj,base.bd,Gopalganj
__export__.state_bd_habiganj,Habiganj,base.bd,Habiganj
__export__.state_bd_jaipurhat,Jaipurhat,base.bd,Jaipurhat
__export__.state_bd_jamalpur,Jamalpur,base.bd,Jamalpur
__export__.state_bd_jessore,Jashore,base.bd,Jashore
__export__.state_bd_jhalakati,Jhalakati,base.bd,Jhalakati
__export__.state_bd_jhenaidah,Jhenaidah,base.bd,Jhenaidah
__export__.state_bd_khagrachari,Khagrachari,base.bd,Khagrachari
__export__.state_bd_khulna,Khulna,base.bd,Khulna
__export__.state_bd_kishoreganj,Kishoreganj,base.bd,Kishoreganj
__export__.state_bd_kurigram,Kurigram,base.bd,Kurigram
__export__.state_bd_kushtia,Kushtia,base.bd,Kushtia
__export__.state_bd_lakshmipur,Lakshmipur,base.bd,Lakshmipur
__export__.state_bd_lalmonirhat,Lalmonirhat,base.bd,Lalmonirhat
__export__.state_bd_madaripur,Madaripur,base.bd,Madaripur
__export__.state_bd_magura,Magura,base.bd,Magura
__export__.state_bd_manikganj,Manikganj,base.bd,Manikganj
__export__.state_bd_meherpur,Meherpur,base.bd,Meherpur
__export__.state_bd_moulvibazar,Moulvibazar,base.bd,Moulvibazar
__export__.state_bd_munshiganj,Munshiganj,base.bd,Munshiganj
__export__.state_bd_mymensingh,Mymensingh,base.bd,Mymensingh
__export__.state_bd_naogaon,Naogaon,base.bd,Naogaon
__export__.state_bd_narail,Narail,base.bd,Narail
__export__.state_bd_narayanganj,Narayanganj,base.bd,Narayanganj
__export__.state_bd_narsingdi,Narsingdi,base.bd,Narsingdi
__export__.state_bd_natore,Natore,base.bd,Natore
__export__.state_bd_netrakona,Netrakona,base.bd,Netrakona
__export__.state_bd_nilphamari,Nilphamari,base.bd,Nilphamari
__export__.state_bd_noakhali,Noakhali,base.bd,Noakhali
__export__.state_bd_pabna,Pabna,base.bd,Pabna
__export__.state_bd_panchagarh,Panchagarh,base.bd,Panchagarh
__export__.state_bd_patuakhali,Patuakhali,base.bd,Patuakhali
__export__.state_bd_pirojpur,Pirojpur,base.bd,Pirojpur
__export__.state_bd_rajbari,Rajbari,base.bd,Rajbari
__export__.state_bd_rajshahi,Rajshahi,base.bd,Rajshahi
__export__.state_bd_rangamati,Rangamati,base.bd,Rangamati
__export__.state_bd_rangpur,Rangpur,base.bd,Rangpur
__export__.state_bd_satkhira,Satkhira,base.bd,Satkhira
__export__.state_bd_shariatpur,Shariatpur,base.bd,Shariatpur
__export__.state_bd_sherpur,Sherpur,base.bd,Sherpur
__export__.state_bd_sirajganj,Sirajganj,base.bd,Sirajganj
__export__.state_bd_sunamganj,Sunamganj,base.bd,Sunamganj
__export__.state_bd_sylhet,Sylhet,base.bd,Sylhet
__export__.state_bd_tangail,Tangail,base.bd,Tangail
__export__.state_bd_thakurgaon,Thakurgaon,base.bd,Thakurgaon
